행정구역별(시도),연도,내국인,국적가진 외국인,국적 없는 외국인,중국,중국(한국계),대만,일본,몽골,베트남,필리핀,태국,인도네시아,캄보디아,미얀마,스리랑카,파키스탄,방글라데시,네팔,우즈베키스탄,카자흐스탄,러시아,미국,캐나다,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타 강간·강제추행등,방화,상해,폭행,체포・감금,협박,약취・유인,폭력행위등,공갈,손괴
강원도,2018,1496242,"34,682","24,149","3,093","2,223",286,514,839,"4,673",858,"3,589",781,"1,000",469,219,69,250,"1,362",700,319,297,"1,184",235,12,2,11,116,22,352,7,31,"1,314","3,731",19,380,4,233,71,"1,548"
충청북도,2018,1566100,"68,641","54,835","5,932","11,852",298,412,"1,482","6,370","2,038","7,131","1,238","2,013",867,"1,595",282,546,"2,321","3,897",987,"1,031",729,187,10,16,21,122,17,368,8,40,995,"3,237",41,392,4,180,93,"1,540"
충청남도,2018,2085578,"117,094","95,838","9,732","23,661",381,"1,201","1,537","11,089","2,699","11,996","2,732","4,663","1,640","1,467",222,490,"4,274","5,914","2,948","1,648","1,604",294,6,12,26,141,20,316,10,43,"1,101","3,640",48,424,4,239,108,"1,547"
전라북도,2018,1779026,"55,940","39,131","6,317","3,514",258,617,"1,261","8,759","1,424","5,495","1,002","2,048",704,881,187,435,"1,635","1,382",256,278,"1,006",193,11,19,24,152,27,394,11,43,"1,330","4,081",31,412,4,354,84,"1,333"
전라남도,2018,1747832,"61,607","42,520","4,305","3,619",114,735,717,"9,611","1,805","6,924","2,191","2,921",813,"2,720",86,175,"1,585","1,340",291,290,767,185,7,14,19,136,21,314,18,26,"1,108","3,533",31,441,6,219,88,"1,258"
경상북도,2018,2598831,"94,873","74,071","7,077","6,984",237,557,"1,367","17,333","2,939","10,755","4,516","3,322","1,470","2,160",534,614,"2,526","3,530","1,622",845,"1,802",221,10,22,33,198,29,472,24,47,"1,893","4,887",37,511,6,359,179,"2,271"
경상남도,2018,3252856,"123,947","97,494","7,479","11,882",196,916,"1,209","18,234","3,877","13,837","6,788","4,654","2,127","3,468",968,812,"3,392","6,826","1,762","1,576","1,875",332,17,37,49,214,43,635,20,288,"3,009","7,252",52,839,9,478,216,"2,672"
제주특별자치도,2018,632995,"31,032","25,287","7,195","2,888",280,235,400,"3,322",699,"2,415","1,632",543,307,879,86,38,"1,077",119,170,80,"1,187",239,8,8,10,103,18,257,7,21,890,"2,629",22,370,3,156,74,"1,248"
서울특별시,2019,9249364,"465,885","390,177","70,347","179,166","6,749","6,645","9,139","18,790","3,838","12,872","1,226","1,034","1,018",435,"1,659",966,"1,300","3,303","4,206","2,573","31,902","6,127",45,89,133,"1,254",171,"4,981",52,252,"4,598","32,893",192,"3,803",60,"1,547",959,"10,636"
부산광역시,2019,3312190,"77,968","60,502","10,739","4,275","1,160","1,084",771,"12,688","2,161","7,582","2,745","1,182","1,190",806,690,519,"1,023","1,964",714,"1,590","3,338",630,22,42,81,297,48,"1,111",15,100,"3,450","10,915",59,"1,450",16,629,343,"3,806"
대구광역시,2019,2852063,"53,023","40,092","5,556","3,550",557,456,477,"7,958","1,824","5,344","1,482",931,496,954,965,518,653,"1,821",723,667,"2,170",329,14,27,31,215,39,696,11,62,"2,233","6,842",62,921,2,371,161,"2,795"
인천광역시,2019,2389848,"130,292","100,174","11,632","31,185","1,867",969,"2,700","9,777","3,092","8,536","1,806","1,183","2,301",781,"1,185","1,220","1,391","4,185","2,409","1,657","3,970",659,20,28,60,327,46,"1,181",14,73,"1,634","12,212",117,"1,287",11,565,366,"3,471"
광주광역시,2019,1473692,"43,053","33,286","5,389","2,439",229,374,787,"5,664","1,100","3,984",617,"1,143",405,404,352,207,430,"3,142","1,470",986,"1,092",178,11,5,27,185,24,453,6,42,"1,013","5,207",52,542,4,254,110,"1,501"
대전광역시,2019,1456444,"34,148","25,147","5,929","2,336",335,405,661,"3,937",737,"2,515",362,322,83,135,326,276,288,829,487,316,"2,172",359,7,11,25,173,30,492,16,48,948,"4,723",33,660,5,226,142,"1,476"
울산광역시,2019,1115088,"37,284","28,604","2,934","9,108",170,230,510,"4,000","1,203","3,158",715,884,447,889,260,188,394,923,341,272,646,100,10,9,27,106,22,308,15,19,"1,027","3,087",37,384,2,194,75,"1,256"
세종특별자치시,2019,330307,"9,814","7,829","1,063","1,266",41,80,105,"1,335",207,"1,048",169,315,196,91,71,65,183,259,167,82,460,108,2,1,-,12,1,49,1,2,143,377,-,92,1,26,13,221
경기도,2019,12706105,"720,090","594,795","55,585","236,928","2,304","4,655","11,888","42,603","18,278","61,765","8,670","17,135","12,258","6,623","4,078","8,369","14,366","20,055","8,385","6,863","20,439","4,240",62,103,177,"1,103",174,"3,675",66,290,"6,864","41,295",311,"5,674",80,"1,930","1,097","15,288"
강원도,2019,1493119,"38,504","27,008","3,142","2,343",344,513,904,"5,152",982,"4,354",817,"1,034",504,255,126,410,"1,476",794,340,493,"1,385",248,5,8,23,131,24,351,2,28,"1,238","3,099",30,482,9,236,108,"1,468"
충청북도,2019,1569560,"74,880","59,783","5,923","11,923",364,474,"1,668","7,484","2,234","8,289","1,193","2,070","1,016","1,482",334,692,"2,574","4,220","1,197","1,233",922,198,5,17,28,108,19,348,11,41,959,"2,962",29,511,7,161,121,"1,483"
충청남도,2019,2084631,"127,057","104,018","9,800","23,756",455,"1,305","1,631","13,128","2,897","14,273","2,730","4,618","1,782","1,485",368,690,"4,529","6,231","3,494","2,111","1,878",287,10,24,30,192,18,439,17,59,"1,545","3,995",42,656,7,265,118,"2,138"
전라북도,2019,1763463,"62,151","43,960","6,566","3,494",321,626,"1,367","10,201","1,589","6,825","1,067","2,013",834,941,322,700,"1,843","1,555",256,407,"1,125",222,18,15,22,155,15,453,10,41,"1,123","4,163",31,450,2,302,134,"1,291"
전라남도,2019,1739765,"68,719","47,778","4,165","3,680",128,741,791,"10,838","2,072","8,506","2,468","2,964",982,"2,858",154,427,"1,930","1,379",350,437,952,167,4,9,16,127,15,321,10,34,"1,138","3,418",28,519,5,238,88,"1,412"
경상북도,2019,2586314,"104,596","81,840","6,822","6,719",302,637,"1,589","19,625","3,115","13,487","4,480","3,343","1,428","2,064",674,925,"2,841","4,053","2,082","1,042","2,079",240,13,13,24,234,31,497,21,63,"1,909","5,286",51,774,4,383,231,"2,493"
경상남도,2019,3241301,"134,675","105,908","7,475","11,438",285,"1,023","1,375","20,116","4,154","16,548","6,983","4,775","2,377","3,372","1,095","1,041","3,696","7,186","2,234","2,060","2,305",347,29,38,58,466,70,"1,142",43,113,"4,827","12,911",108,"1,798",15,817,521,"5,441"
제주특별자치도,2019,637031,"34,473","28,017","7,332","3,032",333,254,450,"4,044",734,"3,074","1,830",529,275,916,103,140,"1,313",177,154,86,"1,705",285,8,12,21,99,7,290,9,30,777,"2,350",26,435,5,170,86,"1,298"
서울특별시,2020,9219741,"444,443","366,454","64,720","173,721","6,287","6,697","9,658","19,885","3,352","12,555","1,159",931,984,396,"1,112",644,"1,626","3,072","3,478","2,287","24,500","6,119",50,88,141,"1,279",197,"4,211",58,222,"3,858","27,785",215,"3,896",53,"1,187",879,"10,435"
부산광역시,2020,3294102,"73,185","54,914","9,300","4,206","1,052",993,761,"12,207","1,867","7,221","2,523","1,054","1,142",671,596,357,999,"1,683",530,"1,310","2,401",611,21,30,38,306,63,"1,038",10,87,"2,935","9,975",78,"1,406",11,593,354,"3,734"
대구광역시,2020,2846242,"50,900","37,398","4,687","3,402",466,477,551,"9,002","1,559","5,167","1,207",845,419,827,872,408,564,"1,616",648,624,"1,458",315,15,13,33,213,28,552,11,52,"1,971","6,060",50,925,2,285,181,"2,804"
인천광역시,2020,2373302,"131,396","99,212","11,983","33,580","1,765",894,"2,745","9,795","2,632","7,822","1,592","1,026","2,137",707,"1,054",964,"1,273","4,053","2,362","1,631","3,143",682,12,25,45,338,45,979,14,66,"1,594","10,460",105,"1,318",13,509,426,"3,373"
